date, Time, Sec since start, Connected, Data changed, AttitudeActual.Pitch, AttitudeActual.Roll, AttitudeActual.Yaw
2011-10-22, 23:03:25.573, 0.112, 1, 0, -0.601045, -2.60342, -113.919
2011-10-22, 23:03:25.683, 0.222, 1, 0, -0.601045, -2.60342, -113.919
2011-10-22, 23:03:25.780, 0.319, 1, 1, 1.02652, 4.20486, -107.819
2011-10-22, 23:03:25.880, 0.419, 1, 0, 1.02652, 4.20486, -107.819
2011-10-22, 23:03:25.982, 0.521, 1, 1, 1.03831, 4.20496, -107.723
2011-10-22, 23:03:26.75, 0.614, 1, 1, 1.03309, 4.21473, -107.634
2011-10-22, 23:03:26.182, 0.721, 1, 1, 1.04652, 4.22484, -107.459
2011-10-22, 23:03:26.285, 0.824, 1, 0, 1.04652, 4.22484, -107.459
2011-10-22, 23:03:26.383, 0.922, 1, 1, 1.04481, 4.21412, -107.278
2011-10-22, 23:03:26.484, 1.023, 1, 0, 1.04481, 4.21412, -107.278
2011-10-22, 23:03:26.575, 1.114, 1, 1, 1.0525, 4.21233, -107.101
2011-10-22, 23:03:26.674, 1.213, 1, 0, 1.0525, 4.21233, -107.101
2011-10-22, 23:03:26.775, 1.314, 1, 1, 1.06486, 4.20138, -106.913
2011-10-22, 23:03:26.885, 1.424, 1, 0, 1.06486, 4.20138, -106.913
2011-10-22, 23:03:26.978, 1.517, 1, 1, 1.06257, 4.19665, -106.718
2011-10-22, 23:03:27.74, 1.613, 1, 0, 1.06257, 4.19665, -106.718
2011-10-22, 23:03:27.174, 1.713, 1, 0, 1.06257, 4.19665, -106.718
2011-10-22, 23:03:27.277, 1.816, 1, 1, 1.05452, 4.18464, -106.533
2011-10-22, 23:03:27.374, 1.913, 1, 1, 1.05067, 4.17161, -106.44
2011-10-22, 23:03:27.479, 2.018, 1, 1, 1.04661, 4.15462, -106.239
2011-10-22, 23:03:27.575, 2.114, 1, 0, 1.04661, 4.15462, -106.239
2011-10-22, 23:03:27.674, 2.213, 1, 1, 1.05054, 4.1442, -106.176
2011-10-22, 23:03:27.778, 2.317, 1, 1, 1.04899, 4.1592, -106.001
2011-10-22, 23:03:27.873, 2.412, 1, 0, 1.04899, 4.1592, -106.001
2011-10-22, 23:03:27.980, 2.519, 1, 1, 1.03577, 4.15206, -105.824
2011-10-22, 23:03:28.75, 2.614, 1, 1, 1.03269, 4.15512, -105.739
2011-10-22, 23:03:28.216, 2.755, 1, 1, 1.039, 4.16055, -105.651
2011-10-22, 23:03:28.285, 2.824, 1, 1, 1.03408, 4.16906, -105.562
2011-10-22, 23:03:28.377, 2.916, 1, 0, 1.03408, 4.16906, -105.562
2011-10-22, 23:03:28.507, 3.046, 1, 1, 1.04881, 4.16498, -105.389
2011-10-22, 23:03:28.578, 3.117, 1, 0, 1.04881, 4.16498, -105.389
2011-10-22, 23:03:28.679, 3.218, 1, 1, 1.05083, 4.15778, -105.302
2011-10-22, 23:03:28.781, 3.32, 1, 1, 1.04673, 4.15773, -105.132
2011-10-22, 23:03:28.875, 3.414, 1, 0, 1.04673, 4.15773, -105.132
2011-10-22, 23:03:29.13, 3.552, 1, 1, 1.04657, 4.17601, -104.964
2011-10-22, 23:03:29.79, 3.618, 1, 0, 1.04657, 4.17601, -104.964
2011-10-22, 23:03:29.183, 3.722, 1, 1, 1.04229, 4.18645, -104.793
2011-10-22, 23:03:29.281, 3.82, 1, 0, 1.04229, 4.18645, -104.793
2011-10-22, 23:03:29.376, 3.915, 1, 1, 1.02989, 4.1606, -104.538
2011-10-22, 23:03:29.481, 4.02, 1, 0, 1.02989, 4.1606, -104.538
2011-10-22, 23:03:29.582, 4.121, 1, 1, 1.02989, 4.1606, -104.538
2011-10-22, 23:03:29.679, 4.218, 1, 1, 1.02831, 4.17356, -104.453
2011-10-22, 23:03:29.779, 4.318, 1, 1, 1.03283, 4.17474, -104.364
2011-10-22, 23:03:29.878, 4.417, 1, 0, 1.03283, 4.17474, -104.364
2011-10-22, 23:03:29.978, 4.517, 1, 1, 1.03071, 4.1304, -104.099
2011-10-22, 23:03:30.76, 4.615, 1, 0, 1.03071, 4.1304, -104.099
2011-10-22, 23:03:30.175, 4.714, 1, 0, 1.03071, 4.1304, -104.099
2011-10-22, 23:03:30.279, 4.818, 1, 1, 1.04396, 4.10766, -103.831
2011-10-22, 23:03:30.384, 4.923, 1, 1, 1.04961, 4.10686, -103.746
2011-10-22, 23:03:30.485, 5.024, 1, 1, 1.03649, 4.11151, -103.654
2011-10-22, 23:03:30.583, 5.122, 1, 1, 1.06077, 4.11445, -103.561
2011-10-22, 23:03:30.676, 5.215, 1, 0, 1.06077, 4.11445, -103.561
2011-10-22, 23:03:30.777, 5.316, 1, 1, 1.0528, 4.11425, -103.476
2011-10-22, 23:03:30.876, 5.415, 1, 1, 1.07196, 4.11353, -103.395
2011-10-22, 23:03:30.978, 5.517, 1, 1, 1.07785, 4.11261, -103.219
2011-10-22, 23:03:31.76, 5.615, 1, 1, 1.07831, 4.10737, -103.133
2011-10-22, 23:03:31.184, 5.723, 1, 1, 1.09267, 4.11606, -103.047
2011-10-22, 23:03:31.276, 5.815, 1, 0, 1.09267, 4.11606, -103.047
2011-10-22, 23:03:31.376, 5.915, 1, 1, 1.09085, 4.11783, -102.961
2011-10-22, 23:03:31.483, 6.022, 1, 1, 1.09453, 4.12034, -102.773
2011-10-22, 23:03:31.581, 6.12, 1, 1, 1.12777, 4.11824, -102.688
2011-10-22, 23:03:31.676, 6.215, 1, 1, 1.08607, 4.12277, -102.602
2011-10-22, 23:03:31.777, 6.316, 1, 0, 1.08607, 4.12277, -102.602
2011-10-22, 23:03:31.886, 6.425, 1, 1, 1.11647, 4.1236, -102.513
2011-10-22, 23:03:31.980, 6.519, 1, 0, 1.11647, 4.1236, -102.513
2011-10-22, 23:03:32.86, 6.625, 1, 1, 1.10477, 4.10689, -102.25
2011-10-22, 23:03:32.177, 6.716, 1, 1, 1.10826, 4.11388, -102.163
2011-10-22, 23:03:32.284, 6.823, 1, 1, 1.12533, 4.11493, -102.081
2011-10-22, 23:03:32.381, 6.92, 1, 1, 1.09776, 4.12472, -101.99
2011-10-22, 23:03:32.482, 7.021, 1, 0, 1.09776, 4.12472, -101.99
2011-10-22, 23:03:32.579, 7.118, 1, 1, 1.11151, 4.12303, -101.815
2011-10-22, 23:03:32.682, 7.221, 1, 0, 1.11151, 4.12303, -101.815
2011-10-22, 23:03:32.780, 7.319, 1, 1, 1.12579, 4.11251, -101.631
2011-10-22, 23:03:32.884, 7.423, 1, 0, 1.12579, 4.11251, -101.631
2011-10-22, 23:03:32.982, 7.521, 1, 1, 1.1165, 4.11193, -101.456
2011-10-22, 23:03:33.79, 7.618, 1, 1, 1.12715, 4.11498, -101.361
2011-10-22, 23:03:33.180, 7.719, 1, 0, 1.12715, 4.11498, -101.361
2011-10-22, 23:03:33.281, 7.82, 1, 1, 1.11485, 4.11295, -101.274
2011-10-22, 23:03:33.380, 7.919, 1, 1, 1.11091, 4.11919, -101.092
2011-10-22, 23:03:33.481, 8.02, 1, 0, 1.11091, 4.11919, -101.092
2011-10-22, 23:03:33.579, 8.118, 1, 1, 1.11949, 4.1183, -100.919
2011-10-22, 23:03:33.683, 8.222, 1, 0, 1.11949, 4.1183, -100.919
2011-10-22, 23:03:33.782, 8.321, 1, 1, 1.10901, 4.09996, -100.734
2011-10-22, 23:03:33.882, 8.421, 1, 1, 1.15245, 4.08355, -100.648
2011-10-22, 23:03:33.980, 8.519, 1, 1, 1.10632, 4.09134, -100.561
2011-10-22, 23:03:34.80, 8.619, 1, 1, 1.11812, 4.09411, -100.47
2011-10-22, 23:03:34.178, 8.717, 1, 1, 1.12572, 4.09809, -100.384
2011-10-22, 23:03:34.280, 8.819, 1, 0, 1.12572, 4.09809, -100.384
2011-10-22, 23:03:34.378, 8.917, 1, 1, 1.11326, 4.0973, -100.208
2011-10-22, 23:03:34.509, 9.048, 1, 1, 1.12152, 4.09142, -100.116
2011-10-22, 23:03:34.583, 9.122, 1, 0, 1.12152, 4.09142, -100.116
2011-10-22, 23:03:34.684, 9.223, 1, 0, 1.12152, 4.09142, -100.116
2011-10-22, 23:03:34.781, 9.32, 1, 1, 1.1309, 4.07815, -99.9326
2011-10-22, 23:03:34.878, 9.417, 1, 1, 1.11095, 4.0812, -99.8397
2011-10-22, 23:03:34.986, 9.525, 1, 1, 1.11501, 4.04706, -99.6618
